Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
36538,M&M's Adventure,Adventure,E,Wii,Zoo Digital Publishing,Nikitova Games,,,,,,,,,2008.0
36539,M&M's Adventure,Adventure,E,PS2,Zoo Digital Publishing,Nikitova Games,,,,,,,,,2009.0
36540,M&M's Break' Em,Puzzle,E,DS,DSI Games,Frame Studios Interactive,,,,,,,,,2007.0
36541,M&M's Break' Em,Puzzle,E,GBA,DSI Games,Frame Studios Interactive,,,,,,,,,2007.0
36542,M*A*S*H,Action,,2600,20th Century Fox Video Games,20th Century Fox,,,,,,,,,1983.0
36543,M-1 Abrams Battle Tank,Misc,,GEN,Sega,Dynamix,,,,,,,,,1991.0
36544,M.A.V.,Misc,,PC,BombDog,Unknown,,,,,,,,,2020.0
36545,M.A.X: Mechanized Assault & Exploration,Strategy,,PC,Interplay,Interplay,,,,,,,,,1996.0
36546,M.A.X: Mechanized Assault & Exploration 2,Strategy,,PC,Interplay,Flat Cat,,,,,,,,,1998.0
36547,M.C. Kids,Platform,,NES,Virgin Interactive,Virgin Interactive,,,,,,,,,1992.0
36548,M.I.A.: Missing in Action,Shooter,,PC,GT Interactive,Glass Ghost,,,,,,,,,1998.0
36549,M.O.Z.O.X. Space Salvager,Shooter,E,PSN,Unknown,"Twisted Dragon Media, LLC",,,,,,,,,2011.0
36550,M.U.L.E.,Strategy,,NES,Mindscape,Ozark Softscape,,,,,,,,,1990.0
36551,M.U.S.H.A. - Metallic Uniframe Super Hybrid Armor,Shooter,,GEN,Seismic,Compile Ltd.,,,,,,,,,1990.0
36552,M.U.S.H.A. - Metallic Uniframe Super Hybrid Armor,Shooter,E,VC,Sega,Compile Ltd.,,,,,,,,,2009.0
36553,M1 Tank Platoon,Simulation,,PC,Microprose,MicroProse,,,,,,,,,1989.0
36554,M3 The Dark Metal: Mission Memento Mori,Adventure,,PSV,Namco Bandai Games,Namco Bandai Games,,,,,,,,,2014.0
36555,Ma-Gi: Marginal,Adventure,,DC,Princess Soft,Princess Soft,,,,,,,,,2003.0
36556,Mabinogi,Role-Playing,,PC,Nexon,Nexon,,,,,,,,,2008.0
36557,Maboroshi Tsukiyo,Misc,,DC,Sims,SIMS,,,,,,,,,1999.0
36558,Maboshi's Arcade,Puzzle,E,WW,Nintendo,Nintendo,8.5,,,,,,,,2008.0
36559,Macaroni Houren Shou Interactive,Adventure,,3DO,Toshiba EMI,Toshiba EMI,,,,,,,,,1995.0
36560,MacGyver: Deadly Descent,Misc,,And,FairPlay Media Limited,Unknown,,,,,,,,,2014.0
36561,Mach Go Go Go,Racing,,GB,Tomy Corporation,Graphic Research,,,,,,,,,1997.0
36562,Mach Rider,Racing,,NES,Nintendo,HAL Laboratory,,,,,,,,,1985.0
36563,Mach Rider,Racing,E,VC,Nintendo,HAL Laboratory,,,,,,,,,2007.0
36564,Mach Rider,Misc,,3DS,Nintendo,Unknown,,,,,,,,,2014.0
36565,Mach Rider,Misc,,WiiU,Nintendo,Unknown,,,,,,,,,2014.0
36566,Machi no Pet-Ya-San DS: Wannyan 200-Hiki Daishuugou,Simulation,,DS,E-Frontier,E-Frontier,,,,,,,,,2007.0
36567,Machiavelli's Ascent,Platform,,XBL,Microsoft,Naturally Formed Studios,,,,,,,,,2008.0
36568,Machinarium,Adventure,,PSN,Unknown,Amanita Design,,,,,,,,,2008.0
36569,Machine Head,Shooter,T,SAT,Eidos Interactive,Core Design Ltd.,,,,,,,,,1996.0
36570,Machine Maiden Next,Adventure,,PC,Evolution Games,Evolution Games,,,,,,,,,2002.0
36571,Machines,Strategy,,PC,Acclaim Entertainment,Charybdis,,,,,,,,,1999.0
36572,Machines at War 3,Strategy,,PC,Isotope 244 LLC,Isotope 244,,,,,,,,,2014.0
36573,Machines at War 3,Strategy,,OSX,Isotope 244 LLC,Isotope 244,,,,,,,,,2014.0
36574,Macross 7:Ginger no Heart o Furuwa Sero!!,Strategy,,GB,Epoch,Epoch,,,,,,,,,2000.0
36575,Macross Aiuchi Typing Protoculture,Misc,,PC,SSI,SSI Tristar,,,,,,,,,2003.0
36576,Macross Aiuchi Typing Valkyrie,Misc,,PC,SSI,SSI Tristar,,,,,,,,,2002.0
36577,Macross M3,Action,,DC,Shoeisha,Shoeisha,4.0,,,,,,,,2001.0
36578,Macross Plus Game Edition,Action,,PS,Takara,Takara,,,,,,,,,2000.0
36579,Macross Since 1983,Strategy,,PC,Media Kite,Upstar,,,,,,,,,1998.0
36580,Macross VF-X 2,Shooter,,PS,Bandai,Bandai,,,,,,,,,1999.0
36581,Macross: Another Story,Shooter,,PC,Media Kite,Media Kite,,,,,,,,,1999.0
36582,Macross: True Love Song,Strategy,,WS,Lay-Up,Lay-Up,,,,,,,,,2000.0
36583,MAD,Shooter,,2600,US Games,US Games,,,,,,,,,1982.0
36584,Mad Blocker Adventure,Puzzle,,PSV,Unknown,Open Emotion Studios,,,,,,,,,1982.0
36585,Mad Blocker Alpha: Revenge of the Fluzzles,Puzzle,E,PSN,Unknown,Open Emotion Studios,,,,,,,,,2011.0
36586,Mad Dog II: The Lost Gold,Shooter,,3DO,American Laser Games,"American Laser Games, Inc.",,,,,,,,,1994.0
36587,Mad Dog II: The Lost Gold,Shooter,T,SCD,American Laser Games,"American Laser Games, Inc.",,,,,,,,,1994.0
36588,Mad Dog II: The Lost Gold,Shooter,,PC,American Laser Games,"American Laser Games, Inc.",,,,,,,,,1996.0
36589,Mad Dog McCree,Shooter,,3DO,American Laser Games,"American Laser Games, Inc.",,,,,,,,,1994.0
36590,Mad Dog McCree,Shooter,,SCD,American Laser Games,"American Laser Games, Inc.",,,,,,,,,1993.0
36591,Mad Dog McCree,Shooter,T,PC,Digital Leisure Inc.,Digital Leisure Inc.,,,,,,,,,2002.0
36592,Mad Max,Action,,NES,Mindscape,"Mindscape, Inc.",,,,,,,,,1990.0
36593,Mad Max (2013),Action,,X360,Warner Bros. Interactive Entertainment,Avalanche Studios,,,,,,,,,2015.0
36594,Mad Max (2013),Action,,PS3,Warner Bros. Interactive Entertainment,Avalanche Studios,,,,,,,,,2015.0
36595,Mad Monkey : Best Arcade Kid Game (Kids Games+ Retro Arcade = Fun),Misc,,PC,Youda Games,Unknown,,,,,,,,,2012.0
36596,Mad Monkey : Best Arcade Kid Game (Kids Games+ Retro Arcade = Fun),Misc,,OSX,G5 Entertainment,Unknown,,,,,,,,,2012.0
36597,Mad Monkey : Best Arcade Kid Game (Kids Games+ Retro Arcade = Fun),Misc,,And,G5 Entertainment,Unknown,,,,,,,,,2011.0
36598,Mad Skills Motocross 2,Misc,,And,Turborilla,Unknown,,,,,,,,,2014.0
36599,Mad Stalker: Full Metal Force,Fighting,,PCE,NEC Interchannel,Family Soft,,,,,,,,,1994.0
36600,Mad Stalker: Full Metal Force,Fighting,,PS,Family Soft,Family Soft,,,,,,,,,1997.0
36601,Mad Stalker: Full Metal Force,Fighting,,PSN,Family Soft,Family Soft,,,,,,,,,2011.0
36602,Mad Tracks,Racing,E,XBL,D3 Publisher,Load Inc.,,,,,,,,,2007.0
36603,Mad Tracks,Racing,,PC,Element 5,Load Inc.,,,,,,,,,2006.0
36604,Mad TV,Simulation,,PC,Rainbow Arts,Rainbow Arts Software GmbH,,,,,,,,,1991.0
36605,Mad TV 2,Simulation,,PC,FunSoft,Greenwood Entertainment Software GmbH,,,,,,,,,1996.0
36606,Madagascar 3: The Video Game,Misc,,Wii,D3Publisher,Unknown,,,,,,,,,2012.0
36607,Madagascar 3: The Video Game,Misc,,PS3,D3Publisher,Unknown,,,,,,,,,2012.0
36608,Madagascar 3: The Video Game,Misc,,DS,D3Publisher,Unknown,,,,,,,,,2012.0
36609,Madballs in Babo:Invasion,Action,,XBL,Unknown,Playbrains,,,,,,,,,2012.0
36610,MadBalls in... Babo: Invasion,Shooter,E10,PC,Playbrains,Playbrains,,,,,,,,,2009.0
36611,MadBalls in... Babo: Invasion,Shooter,E10,XBL,Microsoft,Playbrains,7.5,,,,,,,,2009.0
36612,Madden '95,Sports,,GB,Malibu Games,Halestorm,,,,,,,,,1994.0
36613,Madden 96,Sports,E,GG,Black Pearl,Tiertex Design Studios,,,,,,,,,1996.0
36614,Madden 96,Sports,E,GB,Black Pearl,Halestorm,,,,,,,,,1995.0
36615,Madden 97,Sports,E,GB,Black Pearl,Tiertex Design Studios,,,,,,,,,1996.0
36616,Madden NFL '94,Sports,,SNES,Electronic Arts,Visual Concepts,,,,,,,,,1993.0
36617,Madden NFL '94,Sports,,GEN,EA Sports,High Score Productions,,,,,,,,,1994.0
36618,Madden NFL '95,Sports,,SNES,Electronic Arts,Visual Concepts,,,,,,,,,1994.0
36619,Madden NFL '95,Sports,,GG,THQ,THQ,,,,,,,,,1995.0
36620,Madden NFL 06,Sports,E,PC,EA Sports,BudCat Creations,,,,,,,,,2005.0
36621,Madden NFL 07,Sports,E,PC,EA Sports,EA Tiburon,8.5,,,,,,,,2006.0
36622,Madden NFL 10,Sports,E,PSN,Electronic Arts,EA Tiburon,,,,,,,,,2009.0
36623,Madden NFL 11,Sports,E,PSN,EA Sports,EA Tiburon,,,,,,,,,2010.0
36624,Madden NFL 12,Sports,E,3DS,EA Sports,EA Tiburon,,,,,,,,,2011.0
36625,Madden NFL 12,Sports,E,PS2,EA Sports,EA Tiburon,,,,,,,,,2011.0
36626,Madden NFL 2000,Sports,E,GB,THQ,Tiertex Design Studios,,,,,,,,,1999.0
36627,Madden NFL 2000,Sports,E,PC,EA Sports,EA Tiburon,,,,,,,,,1999.0
36628,Madden NFL 2001,Sports,E,GB,EA Sports,3d6 Games,,,,,,,,,2000.0
36629,Madden NFL 2001,Sports,E,PC,EA Sports,EA Sports,,,,,,,,,2000.0
36630,Madden NFL 2002,Sports,E,GB,EA Sports,3d6 Games,,,,,,,,,2001.0
36631,Madden NFL 2002,Sports,E,PC,EA Sports,EA Sports,,,,,,,,,2001.0
36632,Madden NFL 2003,Sports,E,PS,EA Sports,BudCat Creations,,,,,,,,,2002.0
36633,Madden NFL 2003,Sports,E,PC,EA Sports,EA Tiburon,,,,,,,,,2002.0
36634,Madden NFL 2004,Sports,E,PC,EA Sports,EA Tiburon,,,,,,,,,2003.0
36635,Madden NFL 2004,Sports,E,PS,EA Sports,BudCat Creations,,,,,,,,,2003.0
36636,Madden NFL 2005,Sports,E,PC,EA Sports,BudCat Creations,,,,,,,,,2004.0
36637,Madden NFL 2005,Sports,E,PS,EA Sports,EA Tiburon,,,,,,,,,2004.0
36638,Madden NFL 95,Sports,,GEN,EA Sports,High Score Productions,,,,,,,,,1994.0
36639,Madden NFL 96,Sports,E,SNES,EA Sports,High Score Productions,,,,,,,,,1995.0
36640,Madden NFL 96,Sports,E,GEN,EA Sports,High Score Productions,,,,,,,,,1995.0
36641,Madden NFL 96,Sports,E,PC,EA Sports,High Score Productions,,,,,,,,,1995.0
36642,Madden NFL 97,Sports,E,SNES,EA Sports,EA Tiburon,,,,,,,,,1996.0
36643,Madden NFL 97,Sports,E,SAT,EA Sports,EA Tiburon,,,,,,,,,1996.0
36644,Madden NFL 97,Sports,E,GEN,EA Sports,High Score Productions,,,,,,,,,1997.0
36645,Madden NFL 97,Sports,E,PC,EA Sports,High Score Productions,,,,,,,,,1996.0
36646,Madden NFL 98,Sports,E,GEN,EA Sports,Tiertex Design Studios,,,,,,,,,1997.0
36647,Madden NFL 98,Sports,E,SNES,Black Pearl,Tiertex Design Studios,,,,,,,,,1997.0
36648,Madden NFL 98,Sports,E,PC,EA Sports,Stormfront Studios,,,,,,,,,1997.0
36649,Madden NFL 98,Sports,E,SAT,EA Sports,EA Tiburon,,,,,,,,,1997.0
36650,Madden NFL 99,Sports,E,PC,EA Sports,EA Sports,,,,,,,,,1998.0
36651,Madden NFL Arcade,Sports,E,PSN,EA Sports,EA Tiburon,,,,,,,,,2009.0
36652,Madden NFL Arcade,Sports,E,XBL,EA Sports,EA Tiburon,6.3,,,,,,,,2009.0
36653,MADDENING,Misc,,PC,Toco Games,Unknown,,,,,,,,,2014.0
36654,MADDENING,Misc,,OSX,Toco Games,Unknown,,,,,,,,,2014.0
36655,Made in Chelsea The Game,Misc,,And,Channel 4 Television Corporation,Unknown,,,,,,,,,2014.0
36656,Made Man: Confessions of the Family Blood,Action,M,PS2,Aspyr,Silverback Studios,,,,,,,,,2007.0
36657,Made Man: Confessions of the Family Blood,Action,M,PC,Aspyr,Silverback Studios,,,,,,,,,2007.0
36658,Madera & Figaro in The Rescue of Ginger,Misc,,Ouya,Unknown,Unknown,,,,,,,,,2014.0
36659,Madou Monogatari A: DokiDoki Bake~shon,Role-Playing,,GG,Compile,Compile,,,,,,,,,1995.0
36660,Madou Monogatari I,Role-Playing,,GEN,Compile,Compile,,,,,,,,,1996.0
36661,Madou Monogatari I: 3-tsu no Madouryoku,Role-Playing,,GG,Sega,Compile,,,,,,,,,1993.0
36662,Madou Monogatari I: Honoo no Sotsuenko,Role-Playing,,PCE,NEC Interchannel,Compile,,,,,,,,,1996.0
36663,Madou Monogatari II: Arles 16-Sai,Role-Playing,,GG,Sega,Compile,,,,,,,,,1994.0
36664,Madou Monogatari III: Kyuukyoku Joou-Sama,Role-Playing,,GG,Sega,Compile,,,,,,,,,1994.0
36665,Madou Monogatari: Hanamaru Daiyouchi Enji,Role-Playing,,SNES,Tokuma Shoten,Compile,,,,,,,,,1996.0
36666,Madouou Granzort,Action,,PCE,Hudson Soft,Hudson Soft,,,,,,,,,1990.0
36667,MADRISM,Puzzle,,XBL,Microsoft,Techarts,,,,,,,,,2009.0
36668,MadStone,Puzzle,E,WW,Riverman Media,Riverman Media,,,,,,,,,2008.0
36669,Maestro! Green Groove,Misc,E,DSiW,Neko Entertainment,Pasta Games!,,,,,,,,,2010.0
36670,Mafia II: Jimmy's Vendetta,Action,M,XBL,2K Games,2K Czech,,,,,,,,,2010.0
36671,Mafia II: Jimmy's Vendetta,Action,M,PSN,2K Games,2K Czech,,,,,,,,,2010.0
36672,Mafia II: Jimmy's Vendetta,Action,M,PC,2K Games,2K Czech,,,,,,,,,2010.0
36673,Mafia II: Joe's Adventures,Action,M,XBL,2K Games,2K Czech,,,,,,,,,2010.0
36674,Mafia II: Joe's Adventures,Action,M,PSN,2K Games,2K Czech,,,,,,,,,2010.0
36675,Mafia II: Joe's Adventures,Action,M,PC,2K Games,2K Czech,,,,,,,,,2010.0
36676,Mafia II: The Betrayal of Jimmy,Action,M,PSN,2K Games,2K Czech,,,,,,,,,2010.0
36677,Mafia Wars (Facebook),Simulation,,PC,Zynga,Zynga,,,,,,,,,2009.0
36678,Mag Force Racing,Racing,E,DC,Crave Entertainment,VCC Entertainment,6.9,,,,,,,,2000.0
36679,MAG: Massive Action Game,Shooter,T,PSN,Sony Computer Entertainment,Zipper Interactive,7.4,,,,,,,,2010.0
36680,Magatama,Action-Adventure,,XB,Microsoft Game Studios,Team Breakout,,,,,,,,,2003.0
36681,Magatama,Action-Adventure,,XBL,Microsoft Game Studios,Team Breakout,,,,,,,,,2007.0
36682,Mage & Minions,Action,,And,"Making Fun, Inc.","Making Fun, Inc.",,,,,,,,,2014.0
36683,Mage's Initiation: Reign of the Elements,Adventure,,PC,Unknown,Himalaya Studios,,,,,,,,,2015.0
36684,Mage's Initiation: Reign of the Elements,Misc,,Linux,Himalaya Studios,Unknown,,,,,,,,,2015.0
36685,Mage's Initiation: Reign of the Elements,Misc,,OSX,Himalaya Studios,Unknown,,,,,,,,,2015.0
36686,MageSlayer,Action,,PC,GT Interactive,Raven Software,,,,,,,,,1997.0
36687,MAGI,Strategy,,PC,Unknown,TeeGee,,,,,,,,,2007.0
36688,Magi Nation,Role-Playing,E,GB,Unknown,Interactive Imagination,,,,,,,,,2001.0
36689,Magi Nation,Role-Playing,,GBA,Epoch,Epoch,,,,,,,,,2002.0
36690,Magi: Hajimari no Meikyuu,Misc,,3DS,Namco Bandai Games,Unknown,,,,,,,,,2013.0
36691,Magic & Mayhem,Strategy,,PC,Virgin Interactive,Mythos Games,,,,,,,,,1998.0
36692,Magic & Mayhem: The Art of Magic,Strategy,T,PC,Bethesda Softworks,Charybdis,,,,,,,,,2001.0
36693,Magic 2014: Duels of the Planeswalkers,Strategy,,X360,Wizards of the Coast,Stainless Games,,,,,,,,,2013.0
36694,Magic 2014: Duels of the Planeswalkers,Strategy,,PS3,Wizards of the Coast,Stainless Games,,,,,,,,,2013.0
36695,Magic 2014: Duels of the Planeswalkers,Strategy,,PC,Wizards of the Coast,Stainless Games,,,,,,,,,2013.0
36696,Magic 2014: Duels of the Planeswalkers,Strategy,,And,Wizards of the Coast,Stainless Games,,,,,,,,,2013.0
36697,Magic Boy,Platform,E,SNES,JVC,Empire Interactive,,,,,,,,,1996.0
36698,Magic Boy,Platform,,PC,Empire Interactive,Blue Turtle,,,,,,,,,1993.0
36699,Magic Carpet,Shooter,E,SAT,Electronic Arts,Krisalis Software,,,,,,,,,1996.0
36700,Magic Carpet,Shooter,E,PC,Electronic Arts,Bullfrog Productions,9.0,,,,,,,,1994.0
36701,Magic Carpet,Shooter,E,PSN,Sony Computer Entertainment,Bullfrog Productions,,,,,,,,,2010.0
36702,Magic Carpet 2: The Netherworlds,Shooter,E,PC,Electronic Arts,Bullfrog Productions,,,,,,,,,1996.0
36703,Magic Destiny -Astrological Games-,Misc,E,WW,Unknown,Shanblue Interactive,,,,,,,,,2011.0
36704,Magic Duels: Origin,Misc,,XOne,Wizards of the Coast,Wizards of the Coast,,,,,,,,,2016.0
36705,Magic Duels: Origin,Misc,,PS4,Wizards of the Coast,Wizards of the Coast,,,,,,,,,2016.0
36706,Magic Duels: Origin,Misc,,PC,Wizards of the Coast,Wizards of the Coast,,,,,,,,,2016.0
36707,Magic Johnson's Fast Break,Sports,,NES,Tradewest,Software Creations,,,,,,,,,1990.0
36708,Magic Knight Rayearth,Role-Playing,T,SAT,Working Designs,Sega,,,,,,,,,1998.0
36709,Magic Orbz,Puzzle,E,PSN,Sony Computer Entertainment,Creat Studios,,,,,,,,,2009.0
36710,Magic Sword,Platform,,SNES,Capcom,Capcom,,,,,,,,,1993.0
36711,Magic: The Gathering,Misc,,PC,Atari,MicroProse,,,,,,,,,1997.0
36712,Magic: The Gathering,Misc,,DC,Sega,Sega,,,,,,,,,2001.0
36713,Magic: The Gathering - Battlegrounds,Strategy,T,PC,Atari,Secret Level,,,,,,,,,2003.0
36714,Magic: The Gathering - Battlemage,Strategy,T,PC,Acclaim Entertainment,Realtime Associates,,,,,,,,,1997.0
36715,Magic: The Gathering - Duels of the Planeswalkers,Strategy,T,PC,Wizards of the Coast,Stainless Games,7.5,,,,,,,,2010.0
36716,Magic: The Gathering - Duels of the Planeswalkers,Misc,T,XBL,Wizards of the Coast,Stainless Games,8.0,,,,,,,,2009.0
36717,Magic: The Gathering - Duels of the Planeswalkers,Misc,T,PSN,Wizards of the Coast,Stainless Games,,,,,,,,,2010.0
36718,Magic: The Gathering - Duels of the Planeswalkers (1998),Strategy,E,PC,Wizards of the Coast,MicroProse,,,,,,,,,1998.0
36719,Magic: The Gathering - Duels of the Planeswalkers 2012,Strategy,T,PSN,Wizards of the Coast,Stainless Games,7.3,,,,,,,,2011.0
36720,Magic: The Gathering - Duels of the Planeswalkers 2012,Strategy,T,XBL,Wizards of the Coast,Stainless Games,7.7,,,,,,,,2011.0
36721,Magic: The Gathering - Tactics,Strategy,T,PC,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,2011.0
36722,Magic: The Gathering - Tactics,Strategy,T,PSN,Unknown,Sony Online Entertainment,,,,,,,,,2011.0
36723,Magic: The Gathering Online,Misc,,PC,Wizards of the Coast,Leaping Lizard Software Inc.,,,,,,,,,2002.0
36724,Magic: The Gathering Online 2.0,Misc,,PC,Wizards of the Coast,Wizards of the Coast,,,,,,,,,2005.0
36725,Magic: The Gathering Online III,Misc,,PC,Wizards of the Coast,Wizards of the Coast,,,,,,,,,2008.0
36726,Magic: The Gathering Online: Champions of Kamigawa,Misc,,PC,Wizards of the Coast,Leaping Lizard,,,,,,,,,2004.0
36727,Magic: The Gathering Spells Of The Ancients,Misc,,PC,Microprose,MicroProse,,,,,,,,,1997.0
36728,Magical * Taruruuto-kun,Action,,GB,Bandai,TOSE Software,,,,,,,,,1991.0
36729,Magical * Taruruuto-kun 2: Raiba Zone Panic!!,Action,,GB,Bandai,Tom Create,,,,,,,,,1992.0
36730,Magical Battle Festa,Action,,PC,Unknown,Unknown,,,,,,,,,2015.0
36731,Magical Beat,Puzzle,,PSV,Arc System Works,Arc System Works,,,,,,,,,2014.0
36732,Magical Chase,Shooter,,PCE,NEC,Quest Corporation,,,,,,,,,1993.0
36733,Magical Chase GB,Shooter,,GB,Micro Cabin,Micro Cabin,,,,,,,,,2000.0
36734,Magical Date: Doki Doki Kouhaku Daisakusen,Strategy,,PS,Taito,Taito,,,,,,,,,1997.0
36735,Magical Diary,Misc,,PC,Fabio Ricci,Unknown,,,,,,,,,2012.0
36736,Magical Diary,Misc,,OSX,Fabio Ricci,Unknown,,,,,,,,,2012.0
36737,Magical Diary,Misc,,Linux,Fabio Ricci,Unknown,,,,,,,,,2012.0
36738,Magical Drop,Puzzle,E,GB,Classified Games,Conspiracy Entertainment,,,,,,,,,2000.0
36739,Magical Drop,Puzzle,,SNES,Data East,Data East,,,,,,,,,1995.0
36740,Magical Drop,Puzzle,,VC,G-mode,Data East,,,,,,,,,2007.0
36741,Magical Drop,Puzzle,,SAT,Data East,Data East,,,,,,,,,1995.0
36742,Magical Drop,Puzzle,,PS,Data East,Data East,,,,,,,,,1996.0
36743,Magical Drop + Wonderful!,Puzzle,,PS,Data East,Data East,,,,,,,,,1999.0
36744,Magical Drop 2,Puzzle,,SNES,Data East,Data East,,,,,,,,,1996.0
36745,Magical Drop 2,Puzzle,,NG,SNK,Data East,,,,,,,,,1996.0
36746,Magical Drop 2,Puzzle,,SAT,Sega,Data East,,,,,,,,,1996.0
36747,Magical Drop 2 (CD),Puzzle,,NG,Data East,Data East,,,,,,,,,1996.0
36748,Magical Drop F,Puzzle,E10,PSN,Sony Computer Entertainment,Data East,,,,,,,,,2010.0
36749,Magical Drop F: Daibouken Mo Rakujyanai!,Puzzle,,PS,Data East,Data East,,,,,,,,,1999.0
36750,Magical Drop for WonderSwan,Puzzle,,WS,Data East,Data East,,,,,,,,,1999.0
36751,Magical Drop II,Puzzle,T,VC,D4 Enterprise,Data East,,,,,,,,,2010.0
36752,Magical Drop III,Puzzle,,NG,SNK,Data East,,,,,,,,,1997.0
36753,Magical Drop III,Puzzle,,SAT,Data East,Data East,,,,,,,,,1997.0
36754,Magical Drop III,Puzzle,,PS,Swing! Entertainment,Data East,,,,,,,,,2000.0
36755,Magical Drop III,Puzzle,T,VC,D4 Enterprise,Data East,,,,,,,,,2010.0
36756,Magical Drop Yurutto,Puzzle,,DSiW,G-mode,G-mode,,,,,,,,,2009.0
36757,Magical fantasista,Role-Playing,,DSiW,G-mode,G-mode,,,,,,,,,2010.0
36758,Magical Houshin,Role-Playing,,GBA,KOEI,Koei,,,,,,,,,2002.0
36759,Magical Medical,Role-Playing,,PS,Konami,Konami,,,,,,,,,1998.0
36760,Magical Melody Fanidanshingu Country,Misc,,XBL,Microsoft,nakfiv,,,,,,,,,2009.0
36761,Magical Puzzle Popils,Puzzle,,GG,Tengen,Tengen,,,,,,,,,1992.0
36762,Magical Tetris Challenge,Puzzle,E,GB,Capcom,Capcom,,,,,,,,,2000.0
36763,Magical Tetris Challenge,Puzzle,,PS,Sony Computer Entertainment,Capcom,,,,,,,,,1999.0
36764,Magical Whip: Wizards of Phantasmal Forest,Platform,E,DSiW,SilverStar,SilverStarJapan,,,,,,,,,2010.0
36765,Magical Whip: Wizards of Phantasmal Forest,Misc,,DSi,Agetec,Unknown,,,,,,,,,2011.0
36766,Magical Whip: Wizards of Phantasmal Forest,Misc,,3DS,Agetec,Unknown,,,,,,,,,2011.0
36767,MagiCard,Action,,2600,"CommaVid, Inc.","CommaVid, Inc.",,,,,,,,,1982.0
36768,Magician Lord,Action,,NG,SNK,ADK Corporation,,,,,,,,,1991.0
36769,Magician Lord,Action,T,VC,D4 Enterprise,ADK Corporation,,,,,,,,,2007.0
36770,Magician Lord,Action,T,PSN,SNK Playmore,ADK Corporation,,,,,,,,,2010.0
36771,Magician Lord (CD),Action,,NG,SNK,ADK Corporation,,,,,,,,,1994.0
36772,Magician Lord (PSP),Action,T,PSN,SNK Playmore,ADK Corporation,,,,,,,,,2011.0
36773,Magicians & Looters,Misc,,X360,Morgopolis Studios,Unknown,,,,,,,,,2013.0
36774,Magicians & Looters,Misc,,PC,Morgopolis Studios,Unknown,,,,,,,,,2013.0
36775,Magicka,Role-Playing,T,XBL,Unknown,Arrowhead Game Studios,,,,,,,,,2013.0
36776,Magicka,Role-Playing,T,PSN,Unknown,Arrowhead Game Studios,,,,,,,,,2013.0
36777,Magicka 2,Action,,PS4,Paradox Interactive,Paradox Interactive,,,,,,,,,2015.0
36778,Magicka Plus,Role-Playing,,PC,Paradox Interactive,Arrowhead Game Studios,,,,,,,,,2011.0
36779,Magicka: Caverns,Role-Playing,T,PC,Paradox Interactive,Arrowhead Game Studios,,,,,,,,,2011.0
36780,Magicka: Final Frontier,Role-Playing,T,PC,Paradox Interactive,Arrowhead Game Studios,,,,,,,,,2011.0
36781,Magicka: Frozen Lake,Role-Playing,T,PC,Paradox Interactive,Arrowhead Game Studios,,,,,,,,,2011.0
36782,Magicka: Marshlands,Role-Playing,T,PC,Paradox Interactive,Arrowhead Game Studios,,,,,,,,,2011.0
36783,Magicka: Nippon,Role-Playing,T,PC,Paradox Interactive,Arrowhead Game Studios,,,,,,,,,2011.0
36784,Magicka: Party Robes,Role-Playing,T,PC,Paradox Interactive,Arrowhead Game Studios,,,,,,,,,2011.0
36785,Magicka: The Watchtower,Role-Playing,T,PC,Paradox Interactive,Arrowhead Game Studios,,,,,,,,,2011.0
36786,Magicka: Vietnam,Role-Playing,T,PC,Paradox Interactive,Arrowhead Game Studios,5.5,,,,,,,,2011.0
36787,Magicka: Wizard Wars,Misc,,OSX,Paradox Interactive,Unknown,,,,,,,,,2014.0
36788,Magicka: Wizard Wars,Misc,,PC,Paradox Interactive,Unknown,,,,,,,,,2014.0
36789,Magicka: Wizard's Survival Kit,Role-Playing,T,PC,Paradox Interactive,Arrowhead Game Studios,,,,,,,,,2011.0
36790,Magma Balls,Action,,GIZ,Unknown,Horizon Software I.T.,,,,,,,,,2011.0
36791,MagMax,Action,,NES,FCI,Nihon Bussan,,,,,,,,,1988.0
36792,Magna Carta: The Phantom of Avalanche,Role-Playing,,PC,SoftMax,SoftMax,,,,,,,,,2002.0
36793,Magna Mundi,Strategy,RP,PC,Paradox Interactive,Paradox Interactive,,,,,,,,,2012.0
36794,Magnetic Cube,Misc,,PC,Wicked Loot,Unknown,,,,,,,,,2014.0
36795,Magnetic Defender,Shooter,,XBL,Microsoft,Advanced Graphics Lab,,,,,,,,,2009.0
36796,Magnetic Joe,Puzzle,E,DSiW,Unknown,Most Wanted Entertainment,,,,,,,,,2011.0
36797,Magnetica Twist,Puzzle,E,WW,Nintendo,Nintendo,,,,,,,,,2008.0
36798,Magnetis,Puzzle,E,WW,Yullaby,Yullaby,,,,,,,,,2009.0
36799,Magnetis,Puzzle,,PC,Yullaby,Yullaby,,,,,,,,,2009.0
36800,Magnifico,Strategy,,And,Matrix Games,Matrix Games,,,,,,,,,2014.0
36801,Magnify Physics,Puzzle,,iQue,Unknown,Toco Games,,,,,,,,,2014.0
36802,Magrunner: Dark Pulse,Misc,,X360,Unknown,Unknown,,,,,,,,,2020.0
