housing_median_age,total_bedrooms,households,median_income,median_house_value
21,956,890,3.5573,500001
52,1057,997,3.1766,225000
52,1360,1245,2.4722,500001
52,170,214,7.1669,500001
52,458,449,3.9167,321600
52,417,377,3.5481,396000
52,336,300,3.7167,327300
52,602,551,3.2411,250000
48,279,309,3.7167,385000
52,322,303,5.3819,440900
33,836,736,2.6781,328800
48,826,827,3.2279,4.00E+05
39,670,624,3.25,355000
52,455,395,2.9605,500001
52,160,151,4.5192,446000
52,289,252,5.5596,500001
28,616,574,3.1475,362500
29,1008,876,2.7824,450000
31,1158,1070,2.8233,310000
25,661,636,3.5556,5.00E+05
35,552,523,3.0862,345300
52,231,219,3.825,278500
48,234,222,4.005,275000
41,544,522,2.9883,296100
52,423,411,5.0858,470000
52,437,400,4.0583,444300
52,306,308,3.625,440900
52,506,464,4.0217,500001
48,404,363,3.3824,322600
47,300,278,4.0625,295200
48,380,370,3.2813,243600
49,184,194,2.7917,242000
45,395,409,3.3333,254700
50,812,758,3.0833,338100
52,480,417,3.0707,417900
47,314,311,5.7509,474100
52,231,226,4.2404,351000
52,210,214,4.4191,334100
49,NA,187,4.8958,333600
40,598,563,3.238,287500
35,879,784,3.0956,500001
47,679,594,2.5806,234100
44,493,469,2.0984,158000
42,NA,271,2.8793,202100
45,NA,475,2.5658,252000
46,451,443,2.8841,290800
50,419,402,3.1944,213500
39,292,285,2.2725,140600
52,414,409,3.6435,195800
52,504,438,2.6654,259400
39,812,794,2.532,172700
39,330,313,2.2554,165000
48,328,311,2.3526,156300
31,251,239,2.913,192500
46,795,725,2.0706,268500
52,401,372,3.6373,420000
41,472,465,2.7409,167100
35,607,565,2.5955,139700
40,662,617,2.2254,127100
37,529,500,1.7014,123200
36,601,546,1.8685,150700
49,266,297,3.0856,151600
45,357,335,2.1711,179200
48,429,405,2.3214,139400
45,417,379,3.5161,157000
38,375,372,2.3687,146800
43,379,359,2.1078,133500
37,NA,292,3.0694,122200
34,806,765,2.0538,125800
41,423,375,2.4635,169400
44,208,183,1.9,110900
45,459,460,2.5625,138000
42,360,337,2.6,171400
48,331,356,1.6581,118800
42,494,427,1.9408,134600
35,333,306,1.975,138100
33,444,393,2.5927,161500
33,624,582,1.7377,183900
48,443,426,2.628,251100
47,532,519,1.8333,151100
42,404,367,2.0259,168800
44,223,223,2.8654,176800
35,935,801,2.1046,114000
39,826,688,1.9018,137500
47,198,193,3.0132,223200
50,349,335,2.8971,127800
47,453,438,3.1731,121500
52,587,546,2.6098,127100
51,460,433,2.0304,133400
47,346,338,2.0042,114200
45,399,375,1.8783,118200
46,391,366,2.1979,125700
46,625,603,1.6429,125000
48,320,318,4.2218,181000
44,385,441,3.5357,156900
49,530,447,1.89,124000
43,524,436,2.2273,123300
52,92,116,3.25,134700
42,512,501,1.9928,125400
36,342,295,2.1324,143800
40,661,614,1.8316,113500
38,376,315,2.2368,120000
35,499,482,1.6452,125900
38,638,607,2.0879,120700
43,287,307,3.3636,140900
46,502,477,2.4444,134100
49,371,389,2.5156,136600
50,261,260,3.1442,130300
49,276,265,3.4306,130200
47,561,508,1.3444,125000
43,333,329,1.7159,189700
41,285,296,3.9732,188400
44,458,377,2.6154,193200
35,838,791,1.5565,152500
39,433,424,2.1696,153400
41,291,290,2.0817,132500
40,349,323,1.8571,143800
48,488,487,2.4359,123700
50,522,488,1.7225,180000
51,314,306,2.4297,162500
39,506,464,1.2786,121900
38,515,439,1.9336,190600
35,571,554,2.1162,229200
26,640,640,2.3536,5.00E+05
33,726,681,2.4048,208300
29,578,570,2.0658,214600
29,867,753,0.8351,150000
31,501,435,1.9531,227800
52,285,334,2.5833,234600
24,585,538,1.7109,175000
37,399,390,2.006,150000
37,686,630,1.767,170300
44,579,535,2.0405,143000
41,426,393,1.78,162500
35,345,330,2.1518,152800
31,299,298,2.1542,128100
32,182,186,2.1471,125000
42,557,526,1.9167,136400
45,289,238,2.0673,151600
42,378,288,1.2875,179200
29,1384,1213,1.0219,258300
38,437,441,2.0848,135200
22,1235,1063,0.7473,168800
27,287,279,2.135,119600
46,510,476,2.025,135500
52,406,385,2.8295,132200
52,284,295,2.45,111400
44,324,265,1.4712,105800
45,278,276,2.4519,98100
52,441,420,1.2434,98400
47,559,504,2.1571,147900
40,374,357,2.7125,150000
47,NA,245,1.23,138400
37,766,729,1.8564,187500
34,517,495,2.1173,156600
23,397,361,1.3187,127100
46,469,431,2.2981,112100
49,483,416,1.85,116800
21,491,453,2.087,141300
34,772,705,1.631,137500
31,478,423,1.5781,119300
29,229,217,0.4999,500001
50,232,243,1.7546,175000
51,422,381,1.7115,125000
19,241,229,1.6089,162500
24,545,516,1.2969,160200
25,780,719,1.4167,2.00E+05
20,454,453,2.1806,180000
44,474,460,1.6037,275000
41,791,719,1.8539,147500
40,796,658,1.7976,164600
48,513,458,2.2232,162500
39,633,621,1.875,127300
52,103,96,1.9375,38800
40,284,205,0.9234,187500
26,809,572,0.844,350000
25,550,472,1.2989,225000
50,89,76,2.1944,158300
52,47,45,1.8333,312500
49,90,68,1.2096,1.00E+05
52,418,368,2.1905,124000
32,448,432,1.6302,130700
38,285,310,1.5652,123100
38,349,340,2.131,136500
40,362,327,1.8382,126400
37,501,474,2.1667,117700
48,440,400,1.3134,96200
46,357,331,2.0703,114800
41,323,313,1.5603,109600
39,232,228,2.2356,119500
35,486,461,1.913,114300
33,525,515,2.1957,100800
28,136,128,1.2396,90300
32,410,396,2.3304,119900
48,150,114,1.8485,90600
48,99,110,2.375,107500
43,444,433,1.8929,99200
31,403,377,2.1466,100800
30,86,68,1.7813,127500
45,270,235,1.0898,93400
36,262,236,1.2857,99300
43,386,354,1.3287,107200
43,475,469,1.7425,100500
30,291,263,1.4464,110200
38,208,206,1.4653,118800
47,323,325,1.5089,115800
37,668,598,1.9074,99600
42,289,281,1.4524,126800
46,253,221,2.1776,118300
21,375,366,2.319,97200
35,355,341,1.8652,116100
35,556,519,1.2206,129200
47,264,221,1.4327,114100
43,385,372,2.0817,113300
46,428,409,2.148,103800
48,461,441,1.7052,107400
47,237,215,1.75,95800
43,682,609,1.8641,108200
41,492,453,1.6221,104200
36,267,229,1.7237,105800
36,309,292,1.6382,105000
32,342,304,1.5781,102900
41,475,474,1.303,90400
34,552,521,1.4792,95800
23,157,173,1.2056,87500
43,206,187,0.9463,95000
29,363,317,2.2813,101300
38,414,389,1.7132,108200
44,116,96,1.875,98600
41,372,353,1.6731,88200
42,574,527,1.5556,98500
39,319,324,2.1793,107900
27,479,458,0.8941,91900
37,697,630,1.9208,103400
40,599,529,1.852,101500
43,434,390,1.3403,110800
43,381,358,1.8917,106900
47,465,438,1.8242,95000
36,505,464,1.6901,103500
30,140,123,1.9531,1.00E+05
35,294,282,1.4886,1.00E+05
38,447,402,1.8086,97100
46,167,144,1.8824,162500
46,426,374,2.1382,156300
40,312,221,1.1667,143800
48,1095,949,1.9152,122300
27,626,528,1.2446,103800
26,582,557,1.1563,118800
42,670,661,1.6699,108000
35,290,281,1.7961,111700
50,354,293,1.7386,109400
41,216,201,1.6667,116900
43,533,470,1.6955,115200
39,566,547,2.0417,117100
46,489,448,1.6851,108800
48,532,498,2.5263,121000
52,475,444,1.8214,123200
52,350,366,3.0759,123700
42,223,188,2.3942,123200
50,673,583,1.6505,125000
52,421,384,1.6875,116000
52,428,394,2.5885,136200
52,343,334,2.0625,134400
34,775,740,1.7143,132000
46,463,458,2.3403,114100
6,468,403,1.4639,112500
39,207,231,1.6036,137500
30,518,472,1.0539,142500
50,794,770,1.8656,122900
43,245,237,1.2065,103600
52,308,275,1.2175,131300
48,190,188,2.3309,126600
38,921,887,2.125,118800
42,417,380,2.0938,119200
42,284,247,1.2778,112500
44,725,651,1.432,124000
48,376,344,2.1607,96100
44,387,380,2.1354,105800
41,493,471,1.2347,111700
52,295,271,2.7727,128600
40,281,230,1.1806,134600
52,355,353,1.5179,116100
52,494,458,2.0809,109600
52,377,356,2.0958,116400
52,246,238,3.05,111600
52,309,276,1.6892,129100
52,354,312,2,128000
52,379,405,1.933,120000
52,642,613,2.1116,122500
47,362,322,1.9792,116400
48,433,433,1.6559,101400
47,359,333,2.0915,126600
45,339,316,2.2339,104800
44,358,249,1.7083,1.00E+05
46,636,596,1.5846,114800
47,588,521,1.8317,96500
47,533,554,1.9853,101100
46,703,687,1.275,98300
46,530,497,2.0542,103400
52,342,329,2.5848,101900
49,481,484,1.7159,95000
46,321,282,1.7849,99300
52,645,581,2.6667,128000
50,256,260,4.2554,194300
48,308,340,3.3906,189700
50,377,341,3.1548,157700
47,371,368,2.4022,123400
46,361,373,4.26,182600
47,259,291,3.7727,193000
42,378,416,3.5,181100
44,913,848,2.4934,165800
43,564,472,2.0217,187500
44,463,445,1.9231,188500
44,492,493,1.9631,181300
50,693,675,1.95,112600
50,460,469,2.4583,120900
47,388,317,2.2054,121500
47,187,173,2.3333,133300
24,320,308,0.9304,151600
43,479,394,2.5909,98700
49,269,283,1.9779,114200
44,387,364,2.8542,126500
46,315,286,3.2083,149600
48,335,297,4.8125,170500
48,284,280,2.1875,115200
43,232,232,3.7167,108900
43,550,545,2.8274,122500
46,322,305,3.1731,140300
47,210,217,2.175,114700
40,277,255,3.2344,104300
47,331,308,1.9732,101000
46,339,314,3.0833,103300
28,1199,1046,1.8806,113900
32,489,476,1.6477,108900
38,796,721,1.8472,149100
48,433,401,2.9643,140400
46,409,414,2.9315,149000
47,380,371,4.9531,180100
47,461,426,3.8235,207600
34,132,121,1.675,166700
44,314,310,2.2396,108600
52,320,279,3.5114,138800
49,333,328,1.7067,118600
30,931,841,1.6531,118500
44,579,573,2.5363,158800
47,369,377,4.1635,156400
46,798,808,3.8643,195800
33,466,464,6.5044,350400
33,430,382,4.4028,246800
31,450,426,4.3077,140600
11,313,336,0.8702,170500
35,359,341,2.5568,312500
37,1102,953,1.7945,106300
38,735,702,1.6187,266700
44,246,245,4.0357,187800
34,1073,1035,1.7622,167900
34,1576,1371,1.5143,118800
27,1069,956,1.4589,87500
33,601,603,3.6629,353200
35,NA,749,3.5486,332100
28,621,558,3.25,301000
35,304,311,1.8818,1.00E+05
37,513,464,1.4625,103000
39,235,236,2.5547,108900
41,416,370,1.0516,108300
43,398,363,1.9375,112900
44,326,283,1.1645,98200
43,384,329,2.5437,94500
44,388,321,1.9556,93300
45,452,427,1.84,91400
44,54,77,5.1136,111700
49,196,228,2.895,108000
52,426,343,2,96500
52,331,295,3.5982,96600
50,454,410,1.825,106600
52,379,371,2.3977,112200
49,446,394,2.2138,119800
44,555,455,1.9125,97200
48,231,223,3.4444,93100
52,315,277,2.9432,94000
48,445,404,1.6611,95800
48,410,382,3.0455,102400
44,270,274,2.9375,95200
42,768,725,1.3479,1.00E+05
46,300,254,1.4042,110000
39,345,331,1.9564,92200
47,193,217,2.2411,93000
45,416,365,0.9337,92300
19,313,277,0.9809,121400
30,318,289,1.223,1.00E+05
31,271,281,1.689,102600
31,566,521,1.9219,107000
35,634,568,1.375,1.00E+05
43,672,588,1.7734,107300
46,317,304,3.375,98500
44,289,285,2.0673,99800
42,200,190,2.6311,124100
50,451,412,2.1221,119400
52,325,302,3.2188,124200
47,422,380,2.7917,125800
52,277,288,3.725,142600
48,314,312,3.0917,136100
41,286,250,2.7401,131700
50,326,314,3.1346,120000
43,358,342,3.2708,131000
44,333,316,4.0043,133500
44,430,411,4.8295,149600
43,393,394,3.0682,142000
43,569,500,1.747,121000
43,493,462,1.528,131800
46,303,320,3.4643,136300
48,356,338,4.0625,138700
48,587,506,3.5208,134200
36,417,368,1.4868,113200
43,442,439,2.8299,109500
39,618,529,2.6518,136300
41,340,352,1.2273,98400
34,562,514,1.6156,102100
34,802,715,1.6652,99000
31,1208,1007,1.3096,116300
47,417,368,3.9722,117400
52,460,413,3.0625,127400
47,322,339,4.4861,140400
47,392,415,3.7143,140300
30,443,442,1.5521,97500
30,584,535,1.625,101500
38,323,297,1.5109,104000
41,162,170,1.8047,101800
43,312,311,1.575,97500
45,424,429,1.3042,99200
39,588,570,1.3801,97000
44,457,401,2.125,92500
43,206,188,1.2315,98200
46,351,323,1.7121,98200
44,308,295,1.9556,96300
46,352,334,1.55,100600
46,249,250,1.5962,95700
45,371,366,1.64,96800
40,642,631,1.5521,90100
39,688,630,2.0754,101400
38,497,499,1.6027,97300
38,295,292,1.0208,86400
42,203,177,2.037,92600
37,500,447,1.9348,99100
47,374,358,1.4625,94200
40,347,298,1.5303,95300
39,323,327,1.5812,94000
52,346,362,1.5326,90600
34,394,351,1.1557,90100
38,270,265,0.5495,91700
34,276,255,1.6467,90900
39,358,357,1.2091,97900
38,346,355,1.6898,95100
44,369,344,1.2969,94400
39,375,361,1.7167,1.00E+05
37,383,350,1.3971,89800
42,399,387,1.7656,96700
40,538,524,2.1437,94800
42,304,250,1.615,101300
39,221,189,1.8472,99100
23,611,600,1.5313,91400
35,362,327,2.0917,99300
32,205,208,1.6029,89700
39,409,367,1.5294,111400
40,695,627,1.9655,102300
39,428,411,1.9702,93200
43,292,252,2.7917,105600
34,278,315,2.3352,107700
35,494,490,1.5,93600
43,291,299,1.8814,94900
30,275,270,1.5268,91600
38,204,162,1.5714,89700
41,208,192,1.4103,86200
40,226,236,1.8798,101300
34,248,221,2.3365,98000
34,315,303,2.2946,88800
29,351,322,2.3056,98500
35,326,273,1.0375,89800
45,218,237,2.25,93400
44,378,399,1.6389,96700
44,329,315,1.5147,94600
44,265,247,1.6887,99600
37,270,273,1.6333,94500
41,410,389,1.65,94200
38,318,285,1.5872,89800
44,181,167,2,90300
35,403,406,1.4917,93200
41,135,121,2.6458,91300
34,165,171,2.0789,92400
37,221,178,1.6645,94900
36,369,347,1.8191,92700
36,247,225,1.5256,95400
42,295,293,1.1326,104800
42,147,132,2.5,110200
40,244,255,1.7986,98900
36,346,324,1.7262,88800
43,344,340,1.6625,88700
30,397,362,1.449,93100
39,561,504,1.1468,96900
21,278,277,1.4329,94100
32,375,354,1.1051,94200
9,130,114,0.8952,81300
44,338,355,3.0788,1.00E+05
42,460,429,2.5179,97400
43,379,352,3.3836,129900
47,338,329,2.5398,105700
41,257,226,2.0313,122600
40,461,433,2.875,120200
41,198,168,2.2778,128100
38,500,470,1.2098,88400
39,282,277,1.5114,90400
43,74,79,2.2969,90600
45,112,120,3.5833,90600
52,33,45,0.4999,90600
44,312,312,2.3333,99800
43,378,334,1.1434,91300
43,NA,231,0.8527,90400
37,671,683,0.6831,87500
40,280,286,1.35,89500
37,147,147,1.4792,97500
36,543,507,1.25,97400
21,342,310,0.9708,107600
28,NA,476,1.5427,95700
37,125,98,1.6513,90200
25,200,220,1.1384,1.00E+05
40,270,270,0.9889,87500
36,734,667,0.9298,1.00E+05
42,233,228,1.1346,85400
37,241,233,2,84200
34,180,144,2.0769,88300
37,258,248,1.5132,86300
32,201,219,1.0625,89800
42,106,100,0.9705,90000
39,273,265,1.7212,95500
39,258,234,2.0187,90100
35,267,263,2.1607,97600
36,NA,302,2.3333,92100
30,211,204,1.2679,92000
36,123,118,1.3,87000
39,532,535,0.8478,104900
32,282,253,0.8984,88700
29,1012,960,8.2816,500001
32,753,697,15.0001,500001
27,303,270,12.3767,500001
27,1440,1352,12.7296,500001
27,200,197,7.9835,500001
20,1617,1511,9.7449,500001
36,392,334,15.0001,500001
46,90,93,15.0001,500001
52,176,145,7.1576,500001
31,842,796,11.8442,500001
35,525,484,7.8426,500001
32,1141,1106,11.1978,500001
27,879,868,13.2935,500001
29,777,638,10.7937,500001
40,484,523,8.5153,500001
37,549,542,12.8665,500001
42,360,310,15.0001,500001
36,366,352,13.5728,500001
29,1117,1061,13.947,500001
39,163,160,15,500001
37,833,757,8.1888,500001
45,325,311,4.825,500001
47,315,340,6.5147,500001
14,1142,1096,11.2866,500001
33,1092,1052,8.565,500001
41,239,242,8.8619,500001
34,343,299,8.2934,500001
24,349,325,7.3031,500001
21,525,526,11.4233,500001
35,1858,1724,6.0307,500001
42,130,134,10.8082,500001
43,254,256,13.6842,500001
45,264,261,9.1078,500001
40,763,665,7.0318,500001
36,542,550,15.0001,500001
39,456,410,7.9096,500001
38,691,637,10.1882,500001
45,190,171,7.6447,500001
45,433,399,9.4664,500001
48,528,516,9.5221,500001
42,216,224,15.0001,500001
26,1789,1652,4.801,500001
20,1532,1442,4.2554,500001
25,719,663,3.5909,500001
25,1151,1017,3.7721,337500
21,1002,983,4.6197,387500
22,1193,1121,4.7009,500001
27,1033,962,4.175,500001
36,434,396,6.7496,500001
45,214,209,7.0285,500001
46,148,152,15.0001,500001
34,483,439,10.3467,500001
38,656,593,7.7382,500001
26,748,666,7.1674,500001
35,332,296,8.9565,500001
28,959,867,5.5,500001
21,263,224,2.0511,350000
14,292,213,2.2857,500001
13,1452,1252,1.3125,350000
19,1609,1539,1.583,350000
20,1264,1131,2.2444,5.00E+05
46,215,226,7.0674,500001
43,456,407,6.7703,500001
49,301,318,14.2867,500001
42,460,414,9.2225,500001
9,1695,1450,3.2545,500001
18,1192,1036,4.4674,500001
32,435,417,4.7109,5.00E+05
15,1312,1232,5.7097,316700
11,641,463,7.2675,500001
41,267,267,5.3777,500001
22,1073,881,5.2555,500001
13,1119,807,6.2389,500001
40,565,536,6.1527,500001
31,284,274,7.4219,500001
38,664,572,4.1908,500001
20,1018,932,5.1999,500001
44,90,97,10.8045,500001
52,334,321,6.871,500001
38,1126,937,4.8304,500001
52,290,305,6.7115,500001
24,949,893,3.9673,477300
20,1538,1429,4.1141,305000
22,871,791,4.8618,500001
52,435,412,5.8587,494700
28,399,406,2.1875,181300
22,1045,940,3.6673,283300
23,1321,1241,2.7679,277500
25,2138,1844,2.6509,410000
23,1287,1217,3.7549,275000
19,1036,977,3.2663,337500
21,1491,1420,3.5335,268800
19,1010,915,3.0173,393800
25,718,699,3.0069,325000
25,850,784,3.6976,360000
17,897,758,3.1235,420800
31,707,673,3.287,348100
21,648,593,3.9489,360200
45,168,175,2.6528,3.00E+05
39,402,363,3.7813,336300
49,7,7,2.1875,225000
16,6,4,0.536,350000
31,662,631,3.0714,347800
52,308,307,5.2954,485100
46,276,273,4.925,409800
42,569,516,4.5833,427500
16,2211,1899,5.8758,500001
33,652,608,5.0151,500001
52,402,386,7.8164,500001
26,923,805,5.0762,500001
40,268,282,9.272,500001
42,174,190,12.8483,500001
36,296,269,8.1484,500001
33,386,363,3.7277,500001
49,95,106,8.0239,500001
35,576,554,4.0283,412500
42,559,531,5.222,500001
34,459,432,3.6953,500001
25,701,658,4.0153,460000
52,261,249,10.9805,500001
52,332,327,11.1768,500001
36,635,577,5.1637,500001
51,348,357,6.626,500001
52,272,267,5.6454,500001
45,312,305,7.3028,500001
44,286,283,5.5951,461300
43,537,511,8.5938,500001
43,145,149,10.4519,500001
42,203,204,6.6368,500001
35,592,543,2.2961,207700
31,727,672,2.7226,254200
45,130,118,6.2895,340400
36,771,758,2.0437,309100
39,569,553,3.4063,271600
41,23,30,4.125,237500
52,277,289,4.7386,340400
49,279,269,3.9038,308300
28,536,481,3.2228,232500
25,1050,914,3.0574,319400
24,318,287,3.2222,319400
43,201,199,6.5669,372800
26,1394,1250,2.8418,327300
19,2331,2144,3.116,3.00E+05
27,201,228,2.4135,184400
24,1192,1147,3.1642,366700
24,756,692,3.5022,281300
16,1866,1752,3.0965,320000
19,509,437,3.1415,55000
13,1978,1845,3.4058,275000
36,569,527,2.9344,222100
39,375,370,3.7206,230900
43,170,161,3.1827,202800
42,424,382,2.767,143000
43,255,246,2.6402,185700
25,161,131,2.25,333300
43,278,290,4.0781,289400
45,223,221,5.0866,427300
45,311,306,5.2099,373600
39,429,387,3.2308,340800
26,516,435,3.1875,372700
44,176,158,3.3542,344200
25,659,588,3.2396,352400
36,388,352,3.6467,346700
37,205,224,3.625,357600
37,189,202,4.2434,331000
30,303,274,3.125,343800
41,320,304,3.3482,318100
41,528,481,4.0231,353900
41,265,251,4.2411,350900
37,308,321,6.2583,386000
43,246,240,4.5795,4.00E+05
41,221,228,5.1708,418800
37,250,228,5.8666,440100
40,240,229,6.3516,354300
36,418,417,6.4755,405800
32,490,461,4.0429,500001
43,242,247,5.3403,489800
39,632,617,6.2917,465700
38,437,368,3.9091,500001
42,244,242,8.1631,500001
41,516,514,4.3906,500001
44,131,156,4.5278,374300
20,1311,1185,3.6019,463600
21,815,781,3.6488,340800
34,444,413,4.9676,414100
28,737,665,3.1941,394700
34,942,947,2.2402,450000
34,357,362,3.3462,307000
22,1134,898,3.1746,348800
26,842,789,3.4269,301900
35,442,420,3.725,310000
19,1472,1334,3.3955,225000
27,618,625,3.0833,315500
33,535,510,4.7083,420100
32,356,311,3.5667,394000
27,1021,1002,2.697,412500
41,279,285,6.4232,446600
31,528,504,4.7009,500001
42,396,393,6.0804,420000
44,338,341,2.599,362200
44,353,314,4.75,355800
39,359,345,4.7,334700
40,346,311,3.875,321300
30,597,559,3.3995,324000
22,1707,1585,3.1579,243100
41,377,368,4.1083,324300
42,369,362,3.099,335400
29,489,449,3.6611,344200
31,456,410,3.9798,458600
28,1963,1815,2.7058,310900
43,98,103,5.6428,343100
39,1100,1053,2.918,345600
37,83,84,5.1664,326700
36,260,247,4.7344,346900
39,148,153,4.2813,297200
38,390,376,2.7143,287500
41,636,537,2.288,263500
39,174,159,2.3542,235700
34,501,526,2.8417,321400
37,765,737,2.6042,305800
31,376,330,2.0714,3.00E+05
41,310,270,2.5938,285000
33,235,198,2.1471,239300
40,679,587,2.3417,425000
46,686,590,2.5523,387500
50,501,478,3.015,414300
52,447,408,3.0682,412500
52,622,570,2.8514,358700
37,721,637,3.4071,267500
24,454,416,2.975,500001
52,329,313,2.2643,350000
52,244,242,4.1861,363200
52,253,253,3.5234,334700
44,287,256,4.0598,335900
44,230,206,3.6458,325800
52,206,194,3.875,372000
46,362,334,4.45,348300
43,408,354,3.962,345800
48,408,433,4.575,326700
33,785,713,2.9722,325000
52,472,424,3.1607,339000
41,285,268,3.1992,303800
37,460,453,4.337,360600
32,591,556,5.2121,466700
35,300,265,4.0156,500001
27,520,458,3.8935,500001
29,808,696,5.128,500001
45,269,264,4.5673,343100
26,405,371,6.0672,420800
19,726,663,3.8068,500001
19,427,378,3.8698,500001
18,2473,2003,6.1726,500001
19,521,447,10,500001
16,181,149,12.0088,500001
10,339,268,5.8083,321800
35,161,159,2.8393,272000
30,934,880,3.191,271200
18,441,456,2.9338,276300
14,1180,978,3.1603,287500
35,482,494,3.725,284600
35,495,465,4.3281,324000
19,1590,1538,7.5426,351700
45,461,415,2.6667,320000
43,548,493,4.0189,302900
23,1245,1229,4.4228,366900
3,155,153,3.6667,450000
42,558,541,4.875,301300
43,308,303,4.3333,303900
39,822,777,1.1985,215000
38,171,194,4.0893,248900
35,419,394,4.5521,263800
35,305,307,2.7153,265500
36,234,215,3.6538,276100
39,380,356,2.825,276700
33,777,735,3.9727,307200
38,175,180,6.2673,357200
43,458,434,7.4897,362600
44,186,185,6.235,361400
43,510,506,5.1333,345900
46,352,335,6.5778,350800
45,252,263,5.8143,340700
45,374,292,3.625,329400
40,234,231,3.0927,316000
39,69,73,4.3438,331800
32,1781,1544,3.3889,285700
37,275,266,6.1333,387200
44,388,360,5.5941,363500
44,314,320,6.8197,363600
44,306,282,6.0286,356000
43,224,232,6.2022,365900
44,503,474,4.6176,352300
44,240,237,4.9375,365200
44,216,209,5.618,365900
38,216,163,6.1985,422000
13,345,355,5.8864,500001
33,491,447,5.6435,500001
20,270,254,8.7819,500001
16,7,4,7.7197,500001
24,966,579,5.0714,356100
16,3984,3595,5.1064,283200
35,161,172,5.6169,411200
39,118,117,5.9856,432100
36,452,441,5.611,456600
38,174,180,7.5953,434800
37,248,242,4.6364,456300
44,453,461,5.9544,377200
43,454,409,5.6732,330700
41,355,348,5.726,287800
42,337,326,6.019,294500
44,458,450,4.6923,299000
35,967,920,3.2708,4.00E+05
29,588,523,2.5833,187500
5,2062,1566,3.111,247600
44,228,228,4.1852,303300
15,128,137,3.9792,266700
32,219,222,4.1471,284400
45,394,387,4.7375,289600
24,791,639,5.723,500001
36,547,519,6.3267,500001
37,332,327,6.2551,500001
37,409,357,2.1875,175900
41,133,162,2.6546,159600
42,309,348,4.4636,162000
41,532,470,3.8372,156400
31,618,593,2.4741,151200
23,532,505,2.7368,162800
19,675,591,2.6618,179700
32,493,528,4.317,232800
27,612,548,2.9063,184100
35,614,601,3.59,200600
32,340,317,4.381,238700
35,365,369,5.1727,230200
35,274,308,4.9792,251300
10,420,377,1.9049,222200
5,869,794,2.6491,216700
36,268,250,4.7222,239600
37,226,255,4.9196,232400
38,36,40,2.3942,2.00E+05
31,661,618,3.1851,240200
33,660,661,3.5473,226300
27,802,727,2.9619,223400
35,340,326,2.6136,213600
26,560,506,2.8106,184400
25,765,726,2.6368,175900
17,1068,1038,5.322,282700
27,513,519,5.3106,268300
30,757,704,3.125,233300
35,686,682,3.0057,235300
9,884,748,2.9154,203300
13,924,880,3.163,224200
35,504,519,4.6207,304100
41,481,456,3.1779,171100
36,394,396,3.35,163100
30,230,215,5.5,181500
32,340,370,2.375,128000
28,169,143,3.6161,131300
26,135,112,1.3333,187500
38,327,319,3.35,177700
36,561,527,3.1613,182300
39,365,354,3.3929,184600
38,329,335,4,165500
28,420,389,4.3816,191300
36,458,455,3.3009,168000
20,591,558,3.2011,169100
10,1016,948,2,165400
16,571,498,3.3427,154200
21,283,274,2.5,157500
8,412,396,3.1392,146200
31,369,340,2.9375,174000
27,491,462,2.0458,174500
26,651,605,2.1447,158700
39,359,367,2.8462,172000
34,371,380,2.7143,138100
38,460,424,2.7308,150400
39,286,298,1.9208,139800
21,706,652,1.9923,164700
42,264,241,3.5488,205600
20,24,23,2.5588,350000
35,473,387,2.0956,154700
32,139,133,1.4444,182100
24,173,162,2.25,152300
36,739,692,2.1311,163100
36,253,219,2.4545,164200
26,694,595,1.9964,150600
21,1174,1110,2.5262,167300
37,304,293,3.2115,160100
39,485,478,1.5369,141300
46,11,7,3.125,112500
18,795,769,2.9571,346200
18,1716,1674,5.7764,290500
47,69,65,2.9063,146900
41,381,369,2.45,186800
18,189,188,1.8393,187500
40,512,503,1.5394,2.00E+05
21,719,646,1.2276,208300
16,271,250,0.7591,350000
19,440,418,4.2308,416100
6,1270,1226,5.1269,285200
42,175,163,5.6611,265600
48,386,380,4.625,273400
47,410,413,4.4671,270800
36,472,457,4.5074,350000
22,974,935,4.3472,351200
27,443,386,2.5795,192400
23,517,526,3.5056,203100
37,292,285,2.7031,218900
29,411,390,2.1473,195300
52,472,399,2.2188,306700
41,361,344,2.75,238300
30,533,531,2.0329,225800
43,519,486,2.5759,225000
21,711,672,2.1382,242300
30,711,652,3.3616,268500
42,NA,403,2.7451,255400
23,860,806,2.9386,260500
36,295,306,5.0874,368500
52,280,282,5.249,351900
20,673,606,3.9167,285200
47,603,560,4.194,293900
52,361,363,4.2059,350000
44,556,539,1.8584,248100
39,802,737,2.0469,234500
52,588,516,2.1935,243200
45,559,529,1.9167,227200
30,NA,771,2.7139,231700
25,584,535,3.1932,257500
28,658,595,3.4474,253400
28,583,554,3.3397,267800
40,606,588,3.5694,276400
52,287,288,4.1812,321500
26,508,459,4.1451,326700
41,357,374,4.7216,311900
33,366,388,5.4533,409800
25,168,159,7.6886,500001
25,1081,1023,6.4246,446700
36,746,697,3.7596,3.00E+05
42,246,242,5.3074,401900
35,NA,441,6.2028,361500
40,471,416,3.1071,464300
40,475,412,4.25,332800
31,666,633,4.5606,303800
39,590,508,3.274,254300
21,452,422,3.5109,225000
8,522,510,3.7282,287500
31,607,572,7.642,396400
34,362,362,6,367100
31,469,462,7.1463,394100
31,595,591,7.585,380100
36,439,434,4.5486,361000
41,308,314,5.3473,352700
43,208,208,6.01,254200
42,280,264,5.1028,292100
